random_seed,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
2,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6126126126126126,0.5484672742336371,0.5084466838866197,0.6197369641275433,"[[50, 5, 16], [1, 3, 2], [16, 3, 15]]",8,3,0.704225352112676,0.746268656716418,0.7246376811594203,0.5,0.2727272727272727,0.35294117647058826,0.4411764705882353,0.45454545454545453,0.44776119402985076
2,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6486486486486487,0.6078891650556936,0.5616167326172979,0.6428276778757276,"[[55, 3, 13], [1, 4, 1], [18, 3, 13]]",6,4,0.7746478873239436,0.7432432432432432,0.7586206896551724,0.6666666666666666,0.4,0.5,0.38235294117647056,0.48148148148148145,0.4262295081967213
2,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6126126126126126,0.5382491024578845,0.5183017295693352,0.6123006123006123,"[[52, 2, 17], [1, 3, 2], [18, 3, 13]]",5,3,0.7323943661971831,0.7323943661971831,0.7323943661971831,0.5,0.375,0.42857142857142855,0.38235294117647056,0.40625,0.3939393939393939
2,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6216216216216216,0.5378348522507594,0.5184647433874123,0.614894295848781,"[[54, 3, 14], [1, 3, 2], [20, 2, 12]]",5,3,0.7605633802816901,0.72,0.7397260273972602,0.5,0.375,0.42857142857142855,0.35294117647058826,0.42857142857142855,0.3870967741935484
2,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.5855855855855856,0.524164595415631,0.5129756212359466,0.5866373738714165,"[[49, 2, 20], [2, 3, 1], [19, 2, 13]]",4,3,0.6901408450704225,0.7,0.6950354609929078,0.5,0.42857142857142855,0.46153846153846156,0.38235294117647056,0.38235294117647056,0.38235294117647056
3,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6036036036036037,0.5082389763417104,0.48286923286923294,0.6180283477580776,"[[47, 5, 19], [1, 2, 3], [13, 3, 18]]",8,2,0.6619718309859155,0.7704918032786885,0.7121212121212122,0.3333333333333333,0.2,0.25,0.5294117647058824,0.45,0.4864864864864865
3,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6216216216216216,0.4056890361778514,0.39946719946719944,0.6141642141642142,"[[53, 1, 17], [3, 0, 3], [16, 2, 16]]",3,0,0.7464788732394366,0.7361111111111112,0.7412587412587412,0.0,0.0,0.0,0.47058823529411764,0.4444444444444444,0.45714285714285713
3,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6126126126126126,0.3907760287213477,0.39316239316239315,0.613032613032613,"[[54, 2, 15], [3, 0, 3], [15, 5, 14]]",7,0,0.7605633802816901,0.75,0.7552447552447552,0.0,0.0,0.0,0.4117647058823529,0.4375,0.42424242424242425
3,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6126126126126126,0.38566694283347136,0.3831644144144144,0.599844777209642,"[[55, 2, 14], [3, 0, 3], [19, 2, 13]]",4,0,0.7746478873239436,0.7142857142857143,0.7432432432432432,0.0,0.0,0.0,0.38235294117647056,0.43333333333333335,0.40625
3,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6126126126126126,0.45696400625978084,0.46703538070444545,0.612919744554977,"[[50, 1, 20], [2, 1, 3], [16, 1, 17]]",2,1,0.704225352112676,0.7352941176470589,0.7194244604316546,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5,0.425,0.4594594594594595
