fold_number,repeat_number,fold_within_repeat,train_patient_count,test_patient_count,model,scaled_features,preprocessing,accuracy,balanced_accuracy,macro_f1,weighted_f1,confusion_matrix,false_pathological_predictions,true_pathological_detections,normal_recall,normal_precision,normal_f1,pathological_recall,pathological_precision,pathological_f1,suspicious_recall,suspicious_precision,suspicious_f1
5,1,5,442,110,XGBoost,False,median imputation -> training-only SMOTE,0.5727272727272728,0.35708367854183926,0.3543694400837258,0.5619922934208648,"[[51, 3, 17], [3, 0, 2], [22, 0, 12]]",3,0,0.7183098591549296,0.6710526315789473,0.6938775510204082,0.0,0.0,0.0,0.35294117647058826,0.3870967741935484,0.36923076923076925
5,1,5,442,110,LightGBM,False,median imputation -> training-only SMOTE,0.6272727272727273,0.39547086440209883,0.3902777777777778,0.608560606060606,"[[55, 1, 15], [4, 0, 1], [20, 0, 14]]",1,0,0.7746478873239436,0.6962025316455697,0.7333333333333333,0.0,0.0,0.0,0.4117647058823529,0.4666666666666667,0.4375
5,1,5,442,110,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6181818181818182,0.5147196906931787,0.5286427493324045,0.6142782052499921,"[[52, 1, 18], [3, 2, 0], [19, 1, 14]]",2,2,0.7323943661971831,0.7027027027027027,0.7172413793103448,0.4,0.5,0.4444444444444444,0.4117647058823529,0.4375,0.42424242424242425
6,2,1,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6306306306306306,0.5395036887994634,0.5070028011204482,0.640850934968582,"[[50, 4, 17], [1, 2, 2], [14, 3, 18]]",7,2,0.704225352112676,0.7692307692307693,0.7352941176470589,0.4,0.2222222222222222,0.2857142857142857,0.5142857142857142,0.4864864864864865,0.5
6,2,1,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6486486486486487,0.48209255533199197,0.5054187192118227,0.642444414858208,"[[54, 0, 17], [3, 1, 1], [17, 1, 17]]",1,1,0.7605633802816901,0.7297297297297297,0.7448275862068966,0.2,0.5,0.2857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857
6,2,1,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6216216216216216,0.4535211267605634,0.46799071799071795,0.611795456390051,"[[54, 1, 16], [3, 1, 1], [20, 1, 14]]",2,1,0.7605633802816901,0.7012987012987013,0.7297297297297297,0.2,0.3333333333333333,0.25,0.4,0.45161290322580644,0.42424242424242425
6,2,1,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6756756756756757,0.49617706237424547,0.5352988970138123,0.6644144896173344,"[[57, 0, 14], [3, 1, 1], [18, 0, 17]]",0,1,0.8028169014084507,0.7307692307692307,0.7651006711409396,0.2,1.0,0.3333333333333333,0.4857142857142857,0.53125,0.5074626865671642
6,2,1,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6576576576576577,0.48195841716968474,0.48840808353992937,0.6524601680788292,"[[56, 0, 15], [2, 1, 2], [16, 3, 16]]",3,1,0.7887323943661971,0.7567567567567568,0.7724137931034483,0.2,0.25,0.2222222222222222,0.45714285714285713,0.48484848484848486,0.47058823529411764
7,2,2,441,111,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.6126126126126126,0.5282610696860904,0.5257000383582662,0.6186203464684477,"[[45, 2, 24], [4, 2, 0], [12, 1, 21]]",3,2,0.6338028169014085,0.7377049180327869,0.6818181818181818,0.3333333333333333,0.4,0.36363636363636365,0.6176470588235294,0.4666666666666667,0.5316455696202531
7,2,2,441,111,Random Forest,False,median imputation -> training-only SMOTE,0.6486486486486487,0.4808524348706619,0.4751116753655899,0.6571521161449219,"[[53, 4, 14], [3, 1, 2], [12, 4, 18]]",8,1,0.7464788732394366,0.7794117647058824,0.762589928057554,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.5294117647058824,0.5294117647058824,0.5294117647058824
7,2,2,441,111,XGBoost,False,median imputation -> training-only SMOTE,0.6126126126126126,0.4263094909325232,0.4208809215432317,0.6057831940029044,"[[56, 4, 11], [4, 1, 1], [18, 5, 11]]",9,1,0.7887323943661971,0.717948717948718,0.7516778523489933,0.16666666666666666,0.1,0.125,0.3235294117647059,0.4782608695652174,0.38596491228070173
7,2,2,441,111,LightGBM,False,median imputation -> training-only SMOTE,0.6396396396396397,0.45061216975052937,0.46039879853798,0.624274344912712,"[[57, 1, 13], [4, 1, 1], [19, 2, 13]]",3,1,0.8028169014084507,0.7125,0.7549668874172185,0.16666666666666666,0.25,0.2,0.38235294117647056,0.48148148148148145,0.4262295081967213
7,2,2,441,111,Support Vector Machine,True,median imputation -> StandardScaler -> training-only SMOTE,0.6576576576576577,0.5210807327625886,0.5426227761798232,0.6482847180833758,"[[56, 1, 14], [4, 2, 0], [18, 1, 15]]",2,2,0.7887323943661971,0.717948717948718,0.7516778523489933,0.3333333333333333,0.5,0.4,0.4411764705882353,0.5172413793103449,0.47619047619047616
8,2,3,442,110,Logistic Regression,True,median imputation -> StandardScaler -> training-only SMOTE,0.509090909090909,0.3830065359477124,0.3725591804854602,0.5334424362587664,"[[42, 7, 21], [0, 1, 5], [16, 5, 13]]",12,1,0.6,0.7241379310344828,0.65625,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.38235294117647056,0.3333333333333333,0.3561643835616438
8,2,3,442,110,Random Forest,False,median imputation -> training-only SMOTE,0.5636363636363636,0.411577964519141,0.4189647701896477,0.5669153084691532,"[[48, 0, 22], [1, 1, 4], [18, 3, 13]]",3,1,0.6857142857142857,0.7164179104477612,0.7007299270072993,0.16666666666666666,0.25,0.2,0.38235294117647056,0.3333333333333333,0.3561643835616438
8,2,3,442,110,XGBoost,False,median imputation -> training-only SMOTE,0.5545454545454546,0.35602240896358545,0.35060551915822913,0.5527749201364448,"[[48, 0, 22], [2, 0, 4], [18, 3, 13]]",3,0,0.6857142857142857,0.7058823529411765,0.6956521739130435,0.0,0.0,0.0,0.38235294117647056,0.3333333333333333,0.3561643835616438
