row_type,model_or_comparison,metric,evaluation_count,mean,median,standard_deviation,minimum,maximum,paired_mean_difference,paired_mean_bootstrap_95ci_lower,paired_mean_bootstrap_95ci_upper,improved_count,worsened_count,equal_count
model_summary,Logistic Regression,accuracy,30,0.6003003003003003,0.5945945945945946,0.04121548766891302,0.5225225225225225,0.7117117117117117,,,,,,
model_summary,Logistic Regression,balanced_accuracy,30,0.5224339501058639,0.5090674767559606,0.06875140312047198,0.42755224155389854,0.7120500782472613,,,,,,
model_summary,Logistic Regression,macro_f1,30,0.48619367948661163,0.4757912877767691,0.05274468161969175,0.4194023569023569,0.6426653108051731,,,,,,
model_summary,Logistic Regression,weighted_f1,30,0.6148542699552523,0.6090930631846083,0.03648801871169181,0.5446530541381489,0.7116771809356289,,,,,,
model_summary,Logistic Regression,normal_recall,30,0.6633802816901407,0.6619718309859155,0.06547454659826825,0.5352112676056338,0.8028169014084507,,,,,,
model_summary,Logistic Regression,suspicious_recall,30,0.503921568627451,0.5,0.08309335848547977,0.3235294117647059,0.6470588235294118,,,,,,
model_summary,Logistic Regression,pathological_recall,30,0.4000000000000001,0.3333333333333333,0.2080745519209116,0.16666666666666666,0.8333333333333334,,,,,,
model_summary,Logistic Regression,normal_precision,30,0.7740531979933913,0.7685792349726777,0.03139270410138434,0.726027397260274,0.851063829787234,,,,,,
model_summary,Logistic Regression,suspicious_precision,30,0.4488303298087873,0.4511904761904762,0.05317418100687038,0.3404255319148936,0.5666666666666667,,,,,,
model_summary,Logistic Regression,pathological_precision,30,0.2329023072444125,0.20416666666666666,0.17425574495560095,0.08333333333333333,1.0,,,,,,
model_summary,Logistic Regression,pathological_f1,30,0.27498677265859933,0.26785714285714285,0.1284376103469596,0.1111111111111111,0.5882352941176471,,,,,,
model_summary,Logistic Regression,false_pathological_predictions,30,9.133333333333333,8.0,3.711429999835395,0.0,19.0,,,,,,
model_summary,Logistic Regression,true_pathological_detections,30,2.4,2.0,1.2484473115254693,1.0,5.0,,,,,,
model_summary,Random Forest,accuracy,30,0.6324324324324325,0.6261261261261262,0.02803345164662923,0.5585585585585585,0.6846846846846847,,,,,,
model_summary,Random Forest,balanced_accuracy,30,0.4799656325754089,0.46338488447021997,0.060662760338097255,0.37586302126484394,0.6279112584000736,,,,,,
model_summary,Random Forest,macro_f1,30,0.4772466647173604,0.4657461650362259,0.05653185774492315,0.3698097340481446,0.6120985294898339,,,,,,
model_summary,Random Forest,weighted_f1,30,0.6294087294655454,0.6281010505312202,0.02627312524783199,0.565884644580988,0.6803622334079927,,,,,,
model_summary,Random Forest,normal_recall,30,0.754929577464789,0.7535211267605634,0.041781399927299505,0.647887323943662,0.8450704225352113,,,,,,
model_summary,Random Forest,suspicious_recall,30,0.4460784313725491,0.4411764705882353,0.058356836987446585,0.3235294117647059,0.5882352941176471,,,,,,
model_summary,Random Forest,pathological_recall,30,0.2388888888888889,0.16666666666666666,0.17333407014284893,0.0,0.6666666666666666,,,,,,
model_summary,Random Forest,normal_precision,30,0.7378587030306464,0.7399928838285003,0.023625874712745583,0.6875,0.7857142857142857,,,,,,
