row_type,model_or_comparison,metric,evaluation_count,mean,median,standard_deviation,minimum,maximum,paired_mean_difference,paired_mean_bootstrap_95ci_lower,paired_mean_bootstrap_95ci_upper,improved_count,worsened_count,equal_count
model_summary,Logistic Regression,accuracy,25,0.587000819000819,0.5909090909090909,0.05129051898589686,0.4774774774774775,0.6454545454545455,,,,,,
model_summary,Logistic Regression,balanced_accuracy,25,0.5040824292158178,0.4941544692994569,0.08032347923411877,0.3766915216790942,0.6633802816901408,,,,,,
model_summary,Logistic Regression,macro_f1,25,0.4662701139544344,0.47828588734100547,0.05592855586650462,0.3652485095498859,0.568251273344652,,,,,,
model_summary,Logistic Regression,weighted_f1,25,0.6022088589525392,0.6067897570055844,0.04830445850711467,0.4899503924707779,0.6626423830838093,,,,,,
model_summary,Logistic Regression,normal_recall,25,0.6541408450704226,0.6338028169014085,0.06319527681447519,0.5,0.7464788732394366,,,,,,
model_summary,Logistic Regression,suspicious_recall,25,0.48077310924369754,0.47058823529411764,0.09096139550678607,0.3142857142857143,0.6470588235294118,,,,,,
model_summary,Logistic Regression,pathological_recall,25,0.37733333333333335,0.3333333333333333,0.20564262420249577,0.0,0.8,,,,,,
model_summary,Logistic Regression,normal_precision,25,0.7567640363576638,0.7543859649122807,0.04664692576956851,0.639344262295082,0.8333333333333334,,,,,,
model_summary,Logistic Regression,suspicious_precision,25,0.4358729068341921,0.45161290322580644,0.06277659241537978,0.2972972972972973,0.53125,,,,,,
model_summary,Logistic Regression,pathological_precision,25,0.18907890458354853,0.2,0.09047713143016635,0.0,0.4,,,,,,
model_summary,Logistic Regression,pathological_f1,25,0.24328521963371874,0.26666666666666666,0.10845142825804414,0.0,0.4,,,,,,
model_summary,Logistic Regression,false_pathological_predictions,25,9.28,9.0,3.385262175962151,3.0,16.0,,,,,,
model_summary,Logistic Regression,true_pathological_detections,25,2.04,2.0,1.0984838035522722,0.0,4.0,,,,,,
model_summary,Random Forest,accuracy,25,0.6377166257166257,0.6454545454545455,0.03890938572160553,0.5636363636363636,0.7,,,,,,
